file,method,compression_time,decompression_time,original_size,compressed_size,decompressed_size,size_reduction,display_file
xor.bin,Zstandard,0.003992319107055664,0.0009982585906982422,251928.0,24557.0,251928.0,90.25237369407132,xor.bin
xor.bin,Gzip,0.015026092529296875,0.0009996891021728516,251928.0,24941.0,251928.0,90.09994919183258,xor.bin
xor.bin,Bzip2,0.011971712112426758,0.004026651382446289,251928.0,26616.0,251928.0,89.43507668857768,xor.bin
xor.bin,Brotli,0.2999598979949951,0.0010094642639160156,251928.0,23192.0,251928.0,90.79419516687307,xor.bin
GAP5-1RF_Rev07_IV02_old.bin,Zstandard,0.005002260208129883,0.0009975433349609375,251928.0,114884.0,251928.0,54.39808199168016,old.bin
GAP5-1RF_Rev07_IV02_old.bin,Gzip,0.01897716522216797,0.0030057430267333984,251928.0,115730.0,251928.0,54.06227176018545,old.bin
GAP5-1RF_Rev07_IV02_old.bin,Bzip2,0.036025047302246094,0.017992496490478516,251928.0,113922.0,251928.0,54.77993712489283,old.bin
GAP5-1RF_Rev07_IV02_old.bin,Brotli,1.3649921417236328,0.0020151138305664062,251928.0,99512.0,251928.0,60.49982534692452,old.bin
GAP5-1RF_Rev08_IV00_new.bin,Zstandard,0.003973245620727539,0.001001119613647461,251951.0,114910.0,251951.0,54.39192541406861,new.bin
GAP5-1RF_Rev08_IV00_new.bin,Gzip,0.015993833541870117,0.002000093460083008,251951.0,115734.0,251951.0,54.06487769447234,new.bin
GAP5-1RF_Rev08_IV00_new.bin,Bzip2,0.03602337837219238,0.01699972152709961,251951.0,113888.0,251951.0,54.79755984298534,new.bin
GAP5-1RF_Rev08_IV00_new.bin,Brotli,1.3669919967651367,0.0030078887939453125,251951.0,99289.0,251951.0,60.59194049636636,new.bin
